Mstr Cust Acct Cd,Acs Cust Acct Cd,Customer Name,Cust Status Cd
APLDEU,APLDEU,APL LOGISTICS DEUTSCHLAND GMBH & CO. KG,I
APLDHK,APLDHK,APL LOGISTICS DHAKA O/B CHALKMARK,I
APLDOD,APLDOD,"AMERICAN PRESIDENT LINES, LTD- DEPATMENT OF DEFENSE",I
APLDSC,APLDSC,APL DENVER SERVICE CENTER,I
APLEUR,APLEUR,APL LOGISTICS EUROPE,I
APLFR,APLFR,APL FRANCE,I
APLFRA,APLFRA,APL LOGISTICS FRANCE,I
APLGER,APLGER,APL LOGISTICS WAREHOUSE MANAGEMENT SERVICES,I
APLHAM,APLHAM,APL LOGISTICS DEUTSCHLAND GMBH OBO HARGIL/SWITZERLAND,I
RMAID,APLHG,APL LOGISTICS C/O NPF,I
APLIMS,APLIMS,APL LOGISTICS IMS,I
APLINE,APLINE,APL LINES,I
APLJKT,APLJKT,"APL LOGISTICS, JAKARTA",I
APLKAO,APLKAO,APL (KAOHSIUNG) LTD.,I
APLKHI,APLKHI,APL PAKISTAN (PVT) LTD,I
APLKY,APLKY,APL DIRECT,I
APLLAX,APLLAX,APL LOGISTICS LTD,I
APLLCR,APLLCR,AMERICAN PRESIDENT LINES C.R,A
APLLEH,APLLEH,APL LOGISTICS LE HARVE,I
APLLHK,APLLHK,APL LOGISTICS LTD,A
APLLIN,APLLIN,APL NETHERLANDS,I
APLLIS,APLLIS,APLLIS,I
RMAID,APLLLE,APL LOGISTICS OBO GEODIS OBO CEANOTHE,I
APLLON,APLLON,APL,I
APLLSP,APLLSP,APL LOGISTICS SPAIN,I
APLLUK,APLLUK,APL LOGISTICS UK,I
APLMAA,APLMAA,APL LOGISTICS (INDIA) PVT LTD,I
APLME,APLME,"APLL WAREHOUSE MANAGEMENT SERVICES DE MEXICO, S.A. DE C.V.",I
APLMEX,APLMEX,APL DE MEXICO S.A. DE C.V.,I
APLMI,APLMI,APL LOGISTICS MIA,A
APLMNL,APLMNL,APL LOGISTICS,I
